time,position,velocity,energy
69.8,0.23912,-1.0455,0.575121
70,0.0252381,-1.07241,0.575351
70.2,-0.189749,-1.05601,0.575581
70.4,-0.397156,-0.99694,0.575811
70.6,-0.588601,-0.89757,0.576042
70.8,-0.756343,-0.761899,0.576272
71,-0.893596,-0.595392,0.576502
71.2,-0.994802,-0.404765,0.576733
71.4,-1.05586,-0.197709,0.576964
71.6,-1.07428,0.0174166,0.577195
71.8,-1.04931,0.231925,0.577425
72,-0.981944,0.43715,0.577656
72.2,-0.874875,0.624795,0.577887
72.4,-0.732418,0.787274,0.578119
72.6,-0.560315,0.918012,0.57835
72.8,-0.365506,1.01172,0.578581
73,-0.155853,1.06458,0.578813
73.2,0.0601804,1.07446,0.579044
73.4,0.273869,1.04094,0.579276
73.6,0.476579,0.965343,0.579507
73.8,0.660116,0.850721,0.579739
74,0.817058,0.701683,0.579971
74.2,0.941053,0.524238,0.580203
74.4,1.02708,0.325542,0.580435
74.6,1.07165,0.113616,0.580667
74.8,1.07294,-0.102986,0.5809
75,1.03088,-0.315514,0.581132
75.2,0.947161,-0.515379,0.581365
75.4,0.825141,-0.694504,0.581597
75.6,0.669738,-0.845642,0.58183
75.8,0.487215,-0.962677,0.582062
76,0.284935,-1.04087,0.582295
76.2,0.0710629,-1.07704,0.582528
76.4,-0.145765,-1.06971,0.582761
76.6,-0.356792,-1.01916,0.582994
76.8,-0.553488,-0.927419,0.583227
77,-0.727902,-0.798173,0.583461
77.2,-0.872979,-0.636629,0.583694
77.4,-0.982845,-0.449301,0.583928
77.6,-1.05305,-0.243746,0.584161
77.8,-1.08074,-0.0282613,0.584395
78,-1.06477,0.188451,0.584629
78.2,-1.00579,0.397637,0.584862
78.4,-0.906145,0.590842,0.585096
78.6,-0.769854,0.760254,0.58533
78.8,-0.602406,0.89902,0.585565
79,-0.410554,1.00152,0.585799
79.2,-0.202039,1.0636,0.586033
79.4,0.0147223,1.08274,0.586268
79.6,0.230975,1.05814,0.586502
79.8,0.437983,0.99078,0.586737
80,0.627379,0.883367,0.586971
80.2,0.791505,0.740224,0.587206
80.4,0.92372,0.567119,0.587441
80.6,1.01867,0.371032,0.587676
80.8,1.0725,0.159878,0.587911
81,1.08303,-0.0578203,0.588146
81.2,1.0498,-0.273269,0.588382
81.4,0.974153,-0.477765,0.588617
81.6,0.859117,-0.66304,0.588852
81.8,0.709327,-0.821603,0.589088
82,0.53082,-0.947036,0.589323
82.2,0.330796,-1.03426,0.589559
82.4,0.117328,-1.07973,0.589795
82.6,-0.100965,-1.0816,0.590031
82.8,-0.315266,-1.03978,0.590267
83,-0.516917,-0.95593,0.590503
83.2,-0.697765,-0.833428,0.590739
83.4,-0.850495,-0.677207,0.590976
83.6,-0.968927,-0.493564,0.591212
83.8,-1.04826,-0.289907,0.591448
84,-1.08528,-0.0744569,0.591685
84.2,-1.07846,0.144088,0.591922
84.4,-1.02808,0.356898,0.592158
84.6,-0.936135,0.555376,0.592395
84.8,-0.806337,0.731495,0.592632
85,-0.643911,0.878133,0.592869
85.2,-0.455406,0.989352,0.593106
85.4,-0.248428,1.06065,0.593344
85.6,-0.0313301,1.08912,0.593581
85.8,0.18712,1.0736,0.593818
86,0.398099,1.01471,0.594056
86.2,0.593078,0.914793,0.594294
86.4,0.764175,0.777881,0.594531
86.6,0.904468,0.609489,0.594769
86.8,1.00828,0.416405,0.595007
87,1.07139,0.206422,0.595245
87.2,1.09125,-0.0119846,0.595483
87.4,1.06703,-0.229995,0.595721
87.6,0.999687,-0.4388,0.59596
87.8,0.891933,-0.629961,0.596198
88,0.748102,-0.795749,0.596437
88.2,0.57399,-0.929454,0.596675
88.4,0.37662,-1.02566,0.596914
88.6,0.163955,-1.08047,0.597153
88.8,-0.0554191,-1.09166,0.597391
89,-0.272642,-1.05874,0.59763
89.2,-0.478937,-0.983035,0.597869
89.4,-0.665965,-0.867587,0.598109
89.6,-0.826163,-0.717043,0.598348
89.8,-0.953048,-0.537469,0.598587
90,-1.04148,-0.33611,0.598827
90.2,-1.08787,-0.121092,0.599066
90.4,-1.09033,0.098905,0.599306
90.6,-1.04875,0.314994,0.599545
90.8,-0.964773,0.518443,0.599785
91,-0.841789,0.701029,0.600025
91.2,-0.684747,0.855366,0.600265
91.4,-0.499979,0.975208,0.600505
91.6,-0.294938,1.0557,0.600746
91.8,-0.0778991,1.09357,0.600986
92,0.142374,1.08728,0.601226
92.2,0.356983,1.03706,0.601467
92.4,0.557255,0.944924,0.601707
92.6,0.735095,0.814574,0.601948
92.8,0.883308,0.651264,0.602189
93,0.995894,0.461577,0.60243
93.2,1.06829,0.253167,0.602671
93.4,1.09756,0.0344449,0.602912
93.6,1.0825,-0.185756,0.603153
93.8,1.0237,-0.39854,0.603394
94,0.923514,-0.595309,0.603635
94.2,0.785982,-0.768105,0.603877
94.4,0.616641,-0.90994,0.604118
94.6,0.422321,-1.01507,0.60436
94.8,0.21086,-1.07923,0.604602
95,-0.00920312,-1.09982,0.604844
95.2,-0.228983,-1.07598,0.605086
95.4,-0.4396,-1.00867,0.605328
95.6,-0.632541,-0.900573,0.60557
95.8,-0.800005,-0.756053,0.605812
96,-0.935215,-0.580931,0.606054
96.2,-1.0327,-0.38227,0.606297
96.4,-1.0885,-0.168085,0.606539
96.6,-1.10034,0.0529764,0.606782
96.8,-1.06774,0.271986,0.607025
97,-0.99199,0.480094,0.607267
97.2,-0.876131,0.668891,0.60751
97.4,-0.724831,0.830739,0.607753
97.6,-0.544186,0.95909,0.607996
97.8,-0.341484,1.04875,0.60824
98,-0.124906,1.09607,0.608483
98.2,0.0968061,1.09913,0.608726
98.4,0.314695,1.05778,0.60897
98.6,0.519958,0.973689,0.609213
98.8,0.704297,0.850223,0.609457
99,0.860256,0.69236,0.609701
99.2,0.981523,0.506461,0.609945
99.4,1.06318,0.300028,0.610189
99.6,1.10193,0.0813902,0.610433
99.8,1.09617,-0.140623,0.610677
